[22Dec2025 16:14:56.776] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, MrSeven3, --version, 1.21.1, --gameDir, C:/Users/grays/AppData/Roaming/PrismLauncher/instances/1.21.1/minecraft, --assetsDir, C:/Users/grays/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, 3de0398172ba4ed0bbddf97e8f597daa, --accessToken, , --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.215, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[22Dec2025 16:14:56.785] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[22Dec2025 16:14:56.788] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Microsoft; OS Windows 11 arch amd64 version 10.0
[22Dec2025 16:14:58.243] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[22Dec2025 16:14:58.383] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[22Dec2025 16:14:58.824] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[22Dec2025 16:14:59.002] [main/INFO] [CrashAssistantJarInJarHelper/]: Launching CrashAssistantApp (CrashAssistant-neoforge-1.20.6-1.21.4-1.10.23.jar)
[22Dec2025 16:14:59.423] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3050/PCIe/SSE2 GL version 4.6.0 NVIDIA 581.57, NVIDIA Corporation
[22Dec2025 16:15:00.666] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/grays/AppData/Roaming/PrismLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23175!/ Service=ModLauncher Env=CLIENT
[22Dec2025 16:15:01.171] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.215:client]
[22Dec2025 16:15:01.217] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.215-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\grays\AppData\Roaming\PrismLauncher\libraries\net\neoforged\neoforge\21.1.215\neoforge-21.1.215-universal.jar]], reader: mod manifest]
[22Dec2025 16:15:01.223] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found library file "~nonexistent" [locator: org.sinytra.connector.locator.ConnectorEarlyLocatorBootstrap@65c33b92]
[22Dec2025 16:15:01.251] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[neoforge]ctov-3.6.0b.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.269] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AdvancedPeripherals-1.21.1-0.7.57b.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.282] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AdvancementPlaques-1.21.1-neoforge-1.6.8.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.299] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AI-Improvements-1.21-0.5.3.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.313] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "almostunified-neoforge-1.21.1-1.3.0.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.327] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "almostunified_ie-neoforge-1.21.1-1.0.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.342] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "amendments-1.21-2.0.9-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.352] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appleskin-neoforge-mc1.21-3.0.7.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.364] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Aquaculture-1.21.1-2.7.14.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.374] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aquaculturedelight-1.2.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.386] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.406] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_nouveau-1.21.1-5.10.6.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.417] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "athena-neoforge-1.21-4.0.2.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.427] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-neoforge-1.21.1-21.0.55.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.440] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bellsandwhistles-0.4.7-1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.448] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterF3-11.0.3-NeoForge-1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.458] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "blueprint-1.21.1-8.0.8.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.469] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bocchud-0.4.0+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.481] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BrewinAndChewin-neoforge-4.4.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.495] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "c2me-neoforge-mc1.21.1-0.3.0+alpha.0.88.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
